crop,season,soil_type,soil_pH,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,soil_organic_matter_percent,annual_rainfall_mm,temperature_avg_C,temperature_min_C,temperature_max_C,humidity_percent,sunshine_hours_per_day,irrigation_type,irrigation_frequency_days,fertilizer_N_applied,fertilizer_P_applied,fertilizer_K_applied,pesticide_usage_kg_ha,area_under_cultivation_ha,farm_mechanization,crop_variety,plant_age_years,previous_year_yield,elevation_m,slope_percent,district_zone,yield_kg_ha
rice,Kharif,Laterite,5.96,249.66,17.8,114.32,0.96,4039.4,28.01,22.26,31.11,91.19,6.83,Canal,4,85.46,31.0,73.47,2.6,4.6,0,1,0.0,3468.3,132.5,10.23,Midland,3787.57
rice,Kharif,Laterite,5.68,111.61,40.38,117.52,0.98,4138.7,31.66,25.81,35.07,67.64,6.24,Sprinkler,3,77.09,49.71,43.78,4.14,2.96,1,0,0.0,3221.4,494.1,19.13,Malnad,3505.27
rice,Kharif,Sandy Loam,6.38,323.71,39.89,282.81,1.04,3235.2,22.45,18.33,31.11,72.33,6.81,Canal,4,99.33,52.56,55.5,3.71,1.21,1,1,0.0,4079.0,188.8,0.19,Midland,3706.95
rice,Kharif,Clay Loam,5.22,128.97,53.16,217.13,1.69,3076.3,25.11,19.01,33.87,82.21,7.05,Rainfed,0,126.11,27.18,118.46,3.54,5.83,1,1,0.0,3004.6,496.6,14.96,Malnad,3615.61
rice,Kharif,Laterite,5.77,178.59,35.43,279.66,1.47,3492.5,29.56,19.73,32.82,72.82,4.14,Rainfed,0,190.16,68.49,109.67,3.99,8.13,0,1,0.0,4188.7,512.4,28.26,Malnad,3732.55
rice,Kharif,Laterite,6.14,315.18,10.35,192.36,1.93,3266.5,23.2,18.4,35.54,73.73,5.58,Drip,2,110.91,78.31,145.87,1.51,5.22,0,0,0.0,3653.6,35.0,21.33,Coastal,3553.32
rice,Kharif,Laterite,6.32,159.89,17.24,187.68,3.46,3290.5,28.72,23.12,32.74,84.66,4.97,Drip,2,148.69,52.15,49.93,3.84,3.55,0,0,0.0,2992.6,561.3,23.71,Malnad,3389.06
rice,Kharif,Red Loam,5.88,196.68,56.84,110.25,1.72,3136.2,31.25,26.11,34.7,82.82,6.77,Drip,2,134.15,34.51,50.24,4.09,9.05,1,0,0.0,4190.1,331.7,25.41,Midland,3447.38
rice,Kharif,Clay Loam,5.78,121.03,18.08,277.68,2.44,3011.0,23.01,18.67,28.04,69.34,5.69,Canal,5,151.27,33.46,118.34,1.45,3.59,1,1,0.0,3742.9,806.8,23.02,Malnad,3582.81
rice,Kharif,Laterite,6.45,198.27,54.6,218.85,2.95,3603.2,27.77,20.84,31.79,84.51,4.62,Drip,1,150.37,30.63,143.45,4.32,9.19,0,0,0.0,4284.7,881.9,14.99,Malnad,3660.68
rice,Kharif,Sandy Loam,5.09,196.27,52.56,149.72,1.26,3668.2,31.36,24.52,35.3,67.62,5.96,Canal,7,79.61,51.1,136.51,3.46,7.12,1,1,0.0,4071.8,278.9,28.33,Midland,3758.16
rice,Kharif,Clay Loam,5.9,298.95,54.5,154.36,1.81,3112.8,27.78,18.21,33.21,79.65,4.65,Canal,5,64.27,22.24,130.49,1.94,1.71,1,1,0.0,3086.1,205.0,21.8,Midland,3821.14
rice,Kharif,Laterite,5.58,259.36,46.3,294.69,2.19,3387.5,29.95,20.15,34.29,67.12,3.6,Sprinkler,5,177.04,61.76,84.98,1.19,1.99,0,1,0.0,3350.7,678.9,23.11,Malnad,3963.52
rice,Kharif,Red Loam,5.21,289.46,10.72,105.54,0.92,3048.9,30.55,24.02,34.71,67.64,5.47,Drip,1,84.25,46.03,83.84,2.96,6.53,0,1,0.0,4134.8,594.6,17.61,Malnad,3399.03
rice,Kharif,Red Loam,4.64,260.6,11.33,208.87,3.34,3690.6,25.88,20.5,32.14,79.73,7.27,Drip,1,194.57,74.32,61.54,0.78,1.46,0,0,0.0,3403.8,648.9,2.49,Malnad,3755.46
rice,Kharif,Laterite,5.76,319.37,46.75,256.77,1.56,3212.9,29.51,24.06,35.97,76.14,4.99,Canal,6,107.71,75.85,134.43,2.22,7.63,1,0,0.0,4094.0,857.4,17.68,Malnad,3816.67
rice,Kharif,Laterite,5.28,102.71,55.27,100.08,1.66,4140.1,31.51,23.45,35.45,77.11,4.67,Canal,4,154.15,65.14,127.07,3.66,1.37,1,0,0.0,4177.3,522.1,15.45,Malnad,3744.68
rice,Kharif,Laterite,5.74,125.28,14.21,234.21,1.0,3986.2,29.06,18.57,32.4,91.64,5.0,Canal,4,173.79,76.83,148.46,3.51,4.07,0,1,0.0,4202.6,530.5,14.85,Malnad,3901.02
rice,Kharif,Laterite,4.52,217.17,12.82,106.14,1.12,3779.1,29.46,22.35,35.87,75.12,4.64,Sprinkler,5,91.3,77.79,41.34,4.38,0.91,1,1,0.0,3723.2,943.3,2.58,Malnad,3590.85
rice,Kharif,Red Loam,5.41,256.89,39.22,278.25,0.92,3337.2,31.5,26.46,35.19,81.74,4.61,Canal,3,124.92,41.2,104.2,0.81,9.76,1,1,0.0,4076.8,509.3,10.83,Malnad,3789.47
rice,Kharif,Red Loam,6.32,305.63,57.49,239.66,2.46,3501.9,31.33,26.08,34.4,65.71,5.01,Drip,3,198.22,29.03,105.35,2.02,9.71,1,1,0.0,3341.8,445.3,14.52,Malnad,3913.78
rice,Kharif,Clay Loam,6.2,161.84,32.53,108.42,3.38,3727.4,24.29,19.54,32.95,74.67,3.95,Canal,5,132.84,66.34,97.22,3.91,5.74,1,1,0.0,3009.1,383.3,4.69,Midland,3741.07
rice,Kharif,Clay Loam,5.91,153.24,16.82,83.2,1.75,3707.9,25.92,19.72,35.32,74.4,5.56,Canal,6,115.52,57.33,134.86,4.3,1.9,1,1,0.0,4302.8,245.3,16.07,Midland,3601.69
rice,Kharif,Red Loam,4.65,132.22,16.4,113.42,1.17,3769.0,23.82,18.63,35.17,77.8,6.17,Drip,1,86.92,22.45,58.58,1.61,2.18,0,0,0.0,3465.4,437.7,7.22,Malnad,3298.07
rice,Kharif,Red Loam,4.58,299.85,41.4,97.99,3.16,4105.0,22.61,18.28,34.45,85.2,4.24,Canal,4,111.87,49.07,108.01,1.98,4.89,1,0,0.0,4187.5,239.8,24.97,Midland,3949.57
rice,Kharif,Laterite,5.57,160.62,23.46,163.0,0.85,3386.5,24.11,18.69,28.96,89.04,5.87,Drip,2,170.48,49.91,49.56,2.65,6.07,1,1,0.0,3463.8,121.2,9.93,Midland,3688.64
rice,Kharif,Red Loam,5.21,346.63,40.29,132.19,1.07,3183.4,24.46,18.4,29.49,72.7,4.19,Sprinkler,5,71.23,51.47,85.14,4.43,1.56,0,1,0.0,3320.7,822.2,28.6,Malnad,3565.48
